Sl no,District,Taluk ,Place of Hospitals,Rural/Urban,Syetem of Facility,Types ,Bed Strength
75,Kolar,Malur,Malur TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
76,Koppal,Koppal,Koppal DAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
77,Koppal,Koppal  ,Ginigera,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
78,Koppal,Gangavati,Gangavati,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
79,Koppal,Yalaburga,Yalaburga TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
80,Mandya ,Mandya  ,Mandya  DAH ZP,Urban,Ayurveda,Govt. Ayurveda Hosp.,25
81,Mandya ,Mandya  ,Dudda,Rural,Ayurveda,Govt. Ayurveda Hosp.,6
82,Mandya ,Malavalli,Malavalli,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
83,Mandya ,Madduru,Madduru,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
84,Mandya ,Madduru,Halehalli CU,Rural,Ayurveda,Govt. Ayurveda Hosp.,5
85,Mysuru ,Mysore,GAMC TH Mysore  ,Urban,Ayurveda,Govt. Ayurveda Medical College and Hospital.,175
86,Mysuru ,Mysore,Hitech PKU,Urban,Ayurveda,Govt. Ayurveda Panchakrma Hosp.,100
87,Mysuru ,          HD Kote ,HD Kote   TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
88,Mysuru ,Nanjangud,Maraluru Goddanapura,Rural,Ayurveda,Govt. Ayurveda Hosp.,6
89,Mysuru ,Nanjangud,Nanjangud,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
90,Mysuru ,Hunasur,Hunasuru,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
91,Mysuru ,Hunasur,Undawadi,Rural,Ayurveda,Govt. Ayurveda Hosp.,10
92,Mysuru ,KR Nagar,KR Nagara TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
93,Mysuru ,Piriyapatna,Piriyapattana TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
94,Raichur,Raichur,Raichur  DAH ZP,Urban,Ayurveda,Govt. Ayurveda Hosp.,15
95,Raichur,Devadurga,Devadurga  TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
96,Raichur,Lingasagur,Lingasaguru TAH,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
97,Ramanagara,Magadi,Magadi,Urban,Ayurveda,Govt. Ayurveda Hosp.,10
98,Ramanagara,Kanakapura,Kanakapura,Urban,Ayurveda,Govt. Ayurveda Hosp.,6
